,Years,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
354,        Washington (People),5910512.0,5985722.0,6052349.0,6104115.0,6178645.0,6257305.0,6370753.0,6461587.0,6562231.0,6667426.0,6743009.0,6827479.0,6898599.0,6966252.0,7057531.0,7167287.0,7299961.0,7427951.0,7526793.0,7614024.0,7693612.0,
355,        West Virginia (People),1807021.0,1801481.0,1805414.0,1812295.0,1816438.0,1820492.0,1827912.0,1834052.0,1840310.0,1847775.0,1854265.0,1856606.0,1857446.0,1854768.0,1850569.0,1843332.0,1832435.0,1818683.0,1805953.0,1795263.0,1784787.0,
356,        Wisconsin (People),5373999.0,5406835.0,5445162.0,5479203.0,5514026.0,5546166.0,5577655.0,5610775.0,5640996.0,5669264.0,5690538.0,5705840.0,5720825.0,5738012.0,5753199.0,5762927.0,5775170.0,5793147.0,5809319.0,5824581.0,5832655.0,
357,        Wyoming (People),494300.0,494657.0,500017.0,503453.0,509106.0,514157.0,522667.0,534876.0,546043.0,559851.0,564531.0,567491.0,576656.0,582620.0,583159.0,586389.0,585243.0,579994.0,579054.0,580116.0,582328.0,
358,Sources:,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,
364,Exported on: 12/01/2022,,,,,,,,,,,,,,,,,,,,,,
