,Years,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
222,                Tennessee (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3598654.0,3630870.0,3663524.0,3696046.0,3740781.0,3789875.0,3844240.0,3900238.0,3936061.0,3973988.0,3983617.0,4010492.0,4021840.0,4033054.0,4044021.0,4059998.0,4081818.0,4111796.0,4139912.0,4155118.0,4172540.0,
223,                Texas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12957155.0,13232770.0,13496485.0,13727991.0,13976579.0,14229339.0,14583131.0,14878014.0,15169134.0,15466109.0,15615983.0,15894643.0,16119005.0,16343171.0,16615355.0,16906023.0,17149615.0,17353617.0,17537866.0,17739255.0,17937697.0,
224,                Utah (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331590.0,1362529.0,1393358.0,1418091.0,1443953.0,1477059.0,1514684.0,1555360.0,1590580.0,1622174.0,1643711.0,1668394.0,1688777.0,1713539.0,1734557.0,1761059.0,1798094.0,1836893.0,1871382.0,1903647.0,1934174.0,
225,                Vermont (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384375.0,388078.0,392284.0,395727.0,398593.0,401096.0,403274.0,404100.0,404309.0,405052.0,404058.0,405657.0,402712.0,400875.0,397916.0,395908.0,392563.0,390475.0,387653.0,384524.0,381015.0,
226,                Virginia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4569201.0,4637674.0,4697972.0,4753818.0,4830106.0,4898805.0,4967050.0,5016223.0,5064761.0,5123884.0,5069540.0,5121646.0,5152133.0,5171082.0,5187419.0,5198735.0,5196951.0,5212248.0,5209905.0,5213082.0,5207908.0,
227,                Washington (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3730379.0,3798239.0,3857244.0,3902128.0,3958887.0,4019844.0,4099876.0,4159072.0,4224436.0,4286407.0,4285551.0,4330250.0,4358599.0,4375792.0,4416270.0,4469487.0,4537993.0,4607839.0,4655747.0,4695011.0,4727776.0,
228,                West Virginia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1128899.0,1129271.0,1134317.0,1140610.0,1144641.0,1148800.0,1153170.0,1155916.0,1158186.0,1163790.0,1166736.0,1167999.0,1159581.0,1150650.0,1138996.0,1126740.0,1111753.0,1095118.0,1079596.0,1066229.0,1053981.0,
229,                Wisconsin (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300212.0,3334337.0,3371336.0,3407560.0,3441092.0,3472276.0,3497912.0,3521006.0,3539561.0,3558917.0,3568834.0,3584364.0,3580216.0,3581028.0,3576976.0,3569151.0,3560398.0,3553677.0,3548058.0,3538512.0,3523018.0,
230,                Wyoming (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307642.0,309940.0,315383.0,319076.0,323956.0,327948.0,333832.0,341352.0,347854.0,356284.0,355333.0,356594.0,361227.0,362572.0,359578.0,358407.0,354637.0,348576.0,345280.0,343524.0,342362.0,
231,        Children (15 and under) (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57488608.0,58556950.0,59689197.0,60633200.0,61466170.0,62136467.0,62579953.0,63065482.0,63477154.0,63890112.0,64344519.0,64534135.0,64660906.0,64801304.0,64916665.0,64976015.0,64923224.0,65046110.0,65226366.0,65347488.0,65433337.0,65335344.0,65271290.0,65236539.0,65243036.0,65279644.0,65222436.0,65121787.0,65019648.0,64791387.0,64469346.0,
232,            By State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,                Alabama (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994341.0,991731.0,987348.0,984672.0,985133.0,986580.0,990560.0,993555.0,998213.0,998350.0,996465.0,992540.0,988676.0,983116.0,978285.0,974551.0,970320.0,965907.0,965811.0,964964.0,963505.0,
234,                Alaska (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169099.0,166831.0,165910.0,164519.0,163973.0,162856.0,162359.0,160997.0,160657.0,164413.0,166721.0,167769.0,168078.0,168335.0,167213.0,166676.0,167219.0,166053.0,164101.0,161713.0,160033.0,
235,                Arizona (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229024.0,1250635.0,1273610.0,1296337.0,1323222.0,1361987.0,1398299.0,1425888.0,1446550.0,1445125.0,1445161.0,1435788.0,1437508.0,1439033.0,1443313.0,1446655.0,1449151.0,1449367.0,1451318.0,1456287.0,1457818.0,
236,                Arkansas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600745.0,600091.0,599548.0,601089.0,604681.0,610244.0,616225.0,619878.0,623686.0,627269.0,631490.0,632359.0,632565.0,630212.0,627906.0,627142.0,625866.0,625190.0,624229.0,622263.0,620124.0,
237,                California (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8289568.0,8329866.0,8346929.0,8373748.0,8366435.0,8325955.0,8251000.0,8188826.0,8177598.0,8165321.0,8163441.0,8141059.0,8113662.0,8099228.0,8092660.0,8087362.0,8054964.0,8017105.0,7964965.0,7882714.0,7788195.0,
238,                Colorado (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984087.0,1000915.0,1009773.0,1015218.0,1016675.0,1025974.0,1038087.0,1053298.0,1067450.0,1081243.0,1093138.0,1099228.0,1103610.0,1108206.0,1113849.0,1122019.0,1123669.0,1121233.0,1121495.0,1112974.0,1103932.0,
239,                Connecticut (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754576.0,755790.0,755453.0,755791.0,751656.0,743892.0,735214.0,728007.0,723074.0,718258.0,712427.0,703997.0,695597.0,684573.0,675640.0,665510.0,655675.0,648799.0,643290.0,636119.0,628273.0,
240,                Delaware (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173604.0,174229.0,174748.0,175762.0,177020.0,178449.0,179057.0,179879.0,180909.0,181201.0,180970.0,180764.0,181012.0,180778.0,180551.0,180730.0,180580.0,180590.0,180925.0,180984.0,181106.0,
241,                District of Columbia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103048.0,103182.0,102645.0,100336.0,98644.0,96156.0,93531.0,91585.0,90326.0,90173.0,89671.0,92745.0,97000.0,101549.0,105261.0,108605.0,110987.0,114066.0,116163.0,117700.0,119302.0,
242,                Florida (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3248076.0,3292531.0,3339579.0,3379537.0,3436385.0,3494687.0,3525949.0,3527176.0,3524447.0,3511664.0,3514964.0,3522154.0,3537510.0,3553384.0,3581901.0,3626060.0,3674475.0,3710361.0,3738249.0,3756345.0,3769997.0,
243,                Georgia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942057.0,1976121.0,2005351.0,2031699.0,2056239.0,2091674.0,2130779.0,2172886.0,2196890.0,2203220.0,2208215.0,2208714.0,2210369.0,2209953.0,2211713.0,2217601.0,2220864.0,2218716.0,2218030.0,2216143.0,2208125.0,
244,                Hawaii (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261994.0,261330.0,261236.0,261710.0,264561.0,264676.0,264287.0,264206.0,265752.0,268105.0,269342.0,272171.0,274727.0,276876.0,276592.0,277049.0,276158.0,274280.0,272632.0,269210.0,265348.0,
245,                Idaho (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326023.0,328566.0,331719.0,335788.0,341066.0,349857.0,358525.0,367907.0,375478.0,379535.0,382974.0,382833.0,381788.0,382386.0,384119.0,385590.0,388306.0,392437.0,394523.0,397129.0,398500.0,
246,                Illinois (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2887902.0,2884872.0,2876126.0,2866622.0,2851143.0,2829671.0,2804044.0,2788896.0,2776719.0,2765380.0,2752524.0,2725957.0,2701181.0,2674847.0,2647053.0,2620053.0,2588191.0,2555120.0,2523107.0,2487663.0,2448528.0,
247,                Indiana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398432.0,1402362.0,1401853.0,1404774.0,1407923.0,1412423.0,1415442.0,1418854.0,1422766.0,1422689.0,1420588.0,1414671.0,1408031.0,1405864.0,1402092.0,1397403.0,1392529.0,1388902.0,1390791.0,1389675.0,1385358.0,
248,                Iowa (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645006.0,640573.0,636110.0,634752.0,634518.0,633637.0,634859.0,636301.0,639654.0,642050.0,644619.0,643925.0,643589.0,645343.0,647150.0,648311.0,648375.0,648836.0,648197.0,646199.0,643019.0,
249,                Kansas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630707.0,626940.0,625160.0,624546.0,623277.0,622532.0,621577.0,628007.0,633217.0,640573.0,647190.0,646989.0,647606.0,646305.0,644155.0,641704.0,637095.0,631876.0,627591.0,622386.0,617028.0,
250,                Kentucky (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880553.0,880505.0,881291.0,885139.0,886040.0,889844.0,893202.0,896378.0,902379.0,903697.0,906904.0,906224.0,904694.0,904165.0,901220.0,898215.0,896137.0,894432.0,894179.0,891205.0,887727.0,
251,                Louisiana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072155.0,1059637.0,1051270.0,1047355.0,1045008.0,1040103.0,947203.0,964428.0,977763.0,984170.0,989496.0,991218.0,992079.0,992032.0,992589.0,992758.0,990397.0,983563.0,977519.0,971116.0,962560.0,
252,                Maine (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264772.0,262553.0,260417.0,258611.0,256462.0,253814.0,250276.0,247737.0,244751.0,241412.0,238276.0,235085.0,232213.0,229577.0,227332.0,224394.0,222756.0,221293.0,219757.0,219202.0,217571.0,
253,                Maryland (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211728.0,1217198.0,1221983.0,1224278.0,1224064.0,1218805.0,1207678.0,1197485.0,1190130.0,1187668.0,1189769.0,1189846.0,1190770.0,1190429.0,1194139.0,1193907.0,1191953.0,1190094.0,1189527.0,1188367.0,1183304.0,
254,                Massachusetts (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342113.0,1341491.0,1333973.0,1323062.0,1306143.0,1287587.0,1268818.0,1255889.0,1250703.0,1246265.0,1242658.0,1236737.0,1232413.0,1229310.0,1224507.0,1218055.0,1210140.0,1205984.0,1200765.0,1189769.0,1177959.0,
255,                Michigan (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2310395.0,2302899.0,2288478.0,2274598.0,2256738.0,2232219.0,2192922.0,2152882.0,2110150.0,2073649.0,2042947.0,2016340.0,1994743.0,1977173.0,1960397.0,1941620.0,1926992.0,1914882.0,1904081.0,1890394.0,1873532.0,
256,                Minnesota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139060.0,1138397.0,1133351.0,1130474.0,1129407.0,1126742.0,1125959.0,1128769.0,1131433.0,1133862.0,1135267.0,1134964.0,1134335.0,1136883.0,1141125.0,1143835.0,1149071.0,1154672.0,1159109.0,1158582.0,1153179.0,
257,                Mississippi (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683677.0,679140.0,674482.0,672705.0,674695.0,673756.0,666531.0,670377.0,671396.0,669152.0,665956.0,662283.0,658865.0,654064.0,649800.0,644496.0,637978.0,631012.0,626812.0,620609.0,613259.0,
258,                Missouri (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263682.0,1260466.0,1256619.0,1255001.0,1254886.0,1254956.0,1255655.0,1257072.0,1257318.0,1257386.0,1257607.0,1251050.0,1245259.0,1240271.0,1235828.0,1231731.0,1227221.0,1224207.0,1222625.0,1219494.0,1215095.0,
259,                Montana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200750.0,197587.0,195132.0,194069.0,193397.0,193295.0,193245.0,194312.0,195767.0,196314.0,196902.0,197205.0,197563.0,199106.0,200291.0,201481.0,202805.0,203997.0,203647.0,203472.0,203721.0,
260,                Nebraska (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396391.0,394073.0,393661.0,394319.0,395867.0,397041.0,397239.0,398796.0,401513.0,405122.0,409065.0,410480.0,412921.0,415398.0,417997.0,420803.0,423024.0,424470.0,424866.0,423836.0,422156.0,
261,                Nevada (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464182.0,480464.0,495717.0,509785.0,529497.0,546765.0,564406.0,580858.0,588696.0,591598.0,589207.0,584190.0,582214.0,583634.0,587787.0,594236.0,600421.0,605785.0,612835.0,618156.0,620058.0,
262,                New Hampshire (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275856.0,276645.0,275980.0,274160.0,271520.0,268893.0,265669.0,261142.0,257099.0,253109.0,249055.0,244915.0,240571.0,237004.0,233679.0,231332.0,229345.0,227646.0,225577.0,223408.0,220997.0,
263,                New Jersey (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870050.0,1880413.0,1888083.0,1893273.0,1890373.0,1875079.0,1851292.0,1833528.0,1823084.0,1817784.0,1812493.0,1801519.0,1787958.0,1774572.0,1763347.0,1750619.0,1738063.0,1731346.0,1726015.0,1717412.0,1707315.0,
264,                New Mexico (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448631.0,443385.0,442470.0,440310.0,440802.0,442275.0,443596.0,446803.0,450187.0,455094.0,458951.0,458965.0,456507.0,453423.0,448316.0,443325.0,438235.0,432556.0,426693.0,421680.0,416938.0,
265,                New York (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4176646.0,4156706.0,4128156.0,4092179.0,4040971.0,3971703.0,3898491.0,3847248.0,3820024.0,3799884.0,3786442.0,3773438.0,3756857.0,3742148.0,3720948.0,3702432.0,3671841.0,3639645.0,3611815.0,3575928.0,3535364.0,
266,                North Carolina (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761184.0,1792064.0,1815728.0,1838235.0,1856998.0,1885902.0,1917649.0,1960601.0,1993358.0,2014692.0,2025053.0,2027893.0,2029710.0,2031216.0,2030515.0,2029170.0,2030262.0,2032653.0,2037492.0,2040041.0,2039514.0,
267,                North Dakota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139685.0,135695.0,132938.0,131036.0,130439.0,129546.0,128730.0,129063.0,129587.0,131279.0,133236.0,135874.0,140563.0,146500.0,151381.0,156868.0,158353.0,159281.0,161274.0,163031.0,163656.0,
268,                Ohio (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2561742.0,2550720.0,2533677.0,2520017.0,2506359.0,2485767.0,2463366.0,2446114.0,2429392.0,2414795.0,2396544.0,2374043.0,2354921.0,2344817.0,2334841.0,2322951.0,2308535.0,2298543.0,2291974.0,2282843.0,2270293.0,
269,                Oklahoma (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784154.0,779314.0,779564.0,780500.0,779850.0,783145.0,790039.0,798898.0,805841.0,818607.0,829124.0,834843.0,840643.0,848805.0,852010.0,856730.0,856823.0,853190.0,850711.0,848562.0,847072.0,
270,                Oregon (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748971.0,749524.0,751061.0,750819.0,747559.0,748687.0,752459.0,756629.0,761707.0,764381.0,766147.0,765266.0,762653.0,760019.0,762346.0,765507.0,770746.0,772333.0,770527.0,767072.0,761770.0,
271,                Pennsylvania (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2583841.0,2568794.0,2551564.0,2536309.0,2522620.0,2503842.0,2485429.0,2471997.0,2460669.0,2450629.0,2437982.0,2422550.0,2408076.0,2393691.0,2382829.0,2371325.0,2355942.0,2346539.0,2341661.0,2328214.0,2312037.0,
272,                Rhode Island (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221056.0,220636.0,220642.0,219833.0,217324.0,212734.0,207156.0,203162.0,200256.0,196997.0,194940.0,192708.0,190458.0,188342.0,186359.0,184813.0,183601.0,181808.0,181239.0,179332.0,177476.0,
273,                South Carolina (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897509.0,901486.0,904725.0,907655.0,911525.0,915429.0,922004.0,933663.0,945568.0,952583.0,955044.0,954567.0,957336.0,959036.0,963629.0,970076.0,973162.0,977315.0,983006.0,988741.0,991447.0,
274,                South Dakota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177473.0,175599.0,173739.0,172730.0,172711.0,172639.0,173472.0,175201.0,176521.0,178238.0,180543.0,181873.0,183633.0,185964.0,187946.0,189443.0,191251.0,193542.0,194472.0,195249.0,195122.0,
275,                Tennessee (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244163.0,1250862.0,1256063.0,1265649.0,1272836.0,1283607.0,1297266.0,1306237.0,1318146.0,1320530.0,1322456.0,1320819.0,1323795.0,1325878.0,1327617.0,1329172.0,1330066.0,1332887.0,1338211.0,1339872.0,1341216.0,
276,                Texas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5251595.0,5316807.0,5385216.0,5453714.0,5522268.0,5595524.0,5724093.0,5827267.0,5931754.0,6040560.0,6122487.0,6178796.0,6236425.0,6293530.0,6371432.0,6455647.0,6511518.0,6541208.0,6561066.0,6581239.0,6597670.0,
277,                Utah (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637206.0,643186.0,650865.0,659492.0,671248.0,686302.0,706014.0,730202.0,751658.0,771659.0,787662.0,794871.0,800577.0,807626.0,811923.0,816639.0,823049.0,827623.0,828754.0,826316.0,823138.0,
278,                Vermont (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129579.0,127807.0,126088.0,124395.0,122659.0,120429.0,118111.0,116288.0,114812.0,113372.0,112064.0,110465.0,109069.0,107659.0,106213.0,104810.0,103284.0,102574.0,101568.0,100324.0,99070.0,
279,                Virginia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1551726.0,1561139.0,1572028.0,1580900.0,1597273.0,1606798.0,1609904.0,1613643.0,1619602.0,1628546.0,1639744.0,1644625.0,1652927.0,1657184.0,1658023.0,1659384.0,1659823.0,1658974.0,1658912.0,1658492.0,1654489.0,
280,                Washington (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343659.0,1342218.0,1339790.0,1337509.0,1342566.0,1342866.0,1350737.0,1360675.0,1372224.0,1387141.0,1398922.0,1405821.0,1410995.0,1416593.0,1423971.0,1435624.0,1452854.0,1468342.0,1477386.0,1481539.0,1484017.0,
281,                West Virginia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351744.0,347579.0,345895.0,345276.0,345436.0,344307.0,343175.0,342569.0,342362.0,342125.0,341554.0,340117.0,339804.0,338449.0,337011.0,334728.0,330628.0,326262.0,322728.0,318310.0,314251.0,
